month,date,vol,vol_unadj
237,2019-10,33880794805.77501,35040398148.9899
238,2019-11,32058923515.6433,35119721940.90911
239,2019-12,34458168844.48377,34240600520.20203
240,2020-01,34627102348.75306,34284035895.9596
241,2020-02,35136105603.09877,31346131638.38384
242,2020-03,22979783303.49775,23646945958.58587
243,2020-04,13539626316.32502,12968296741.41414
244,2020-05,14402930408.57722,14145166284.34343
245,2020-06,16213771386.12134,15916028115.65656
246,2020-07,16998603689.67736,17543726379.29293
247,2020-08,18778781363.87533,19600556722.72728
248,2020-09,20744841783.38078,20174925085.85859
249,2020-10,22470559865.18031,23052629063.13132
250,2020-11,22814589594.34314,25012365125.25251
251,2020-12,23157436015.86045,22939794777.27274
252,2021-01,22871454501.59125,22477897478.78788
253,2021-02,24606054096.64862,22038169886.36364
254,2021-03,27406148762.93588,28233982861.11111
255,2021-04,29311662754.91396,28293479212.12121
256,2021-05,31709590867.09753,31427722737.87878
257,2021-06,35782533311.0984,35366179464.64647
258,2021-07,34681424298.06296,35978984133.33332
259,2021-08,33601167925.35246,34814581567.17172
260,2021-09,34048028875.30113,33046813580.30302
261,2021-10,34774120671.4128,35287388846.96969
262,2021-11,36723623407.15385,40271993760.60606
263,2021-12,36982462705.13969,36130497830.30302
264,2022-01,33818801770.25851,32880474128.28283
265,2022-02,37457868033.68918,33606829191.91918
266,2022-03,41013114392.61929,42406798628.28284
267,2022-04,40123563679.79931,39212904051.51516
268,2022-05,40598601910.86121,40851672712.12123
269,2022-06,41864461836.98081,42036497268.18181
270,2022-07,42512773651.5733,44615239804.54544
271,2022-08,41624424272.35462,42732368277.77779
272,2022-09,41685306767.4444,39973408155.55556
273,2022-10,40828641747.61318,40694928361.11113
274,2022-11,40993588847.86383,44878865429.79797
275,2022-12,40723091386.83874,39194514882.32324
276,2023-01,43731927100.06424,42225451394.94951
277,2023-02,44379214494.5583,39977073118.18182
278,2023-03,43154225053.80367,44836450594.44445
279,2023-04,43859711705.71903,43469654576.76768
280,2023-05,44528256399.4251,45455669149.49496
281,2023-06,42231881712.30257,42878239558.08082
282,2023-07,42902996682.80248,45427061130.30302
283,2023-08,42178712841.84964,42979238043.43432
284,2023-09,41269526320.32526,39077255051.51515
285,2023-10,40340712575.87817,39676159103.03034
286,2023-11,39984939291.51193,43670923025.25252
287,2023-12,40500047306.65911,38383603567.67677
288,2024-01,41780449843.71665,40257160975.75758
289,2024-02,43671123625.14041,39486457859.09092
290,2024-03,40988756863.74908,42714542001.01012
291,2024-04,40711081952.18993,40868844043.43434
292,2024-05,40743385797.1853,42057778712.62626
293,2024-06,40683427078.57153,41505497571.71716
294,2024-07,40295480811.88148,42883114222.22221
295,2024-08,40760490427.79649,41404259352.52526
296,2024-09,40076609292.88355,37653517623.73738
297,2024-10,40179288194.51888,39103117897.47474
298,2024-11,57806132181.36404,62773398299.49492
299,2024-12,42888780685.5052,40388498766.53722
300,2025-01,41554719618.25985,40185151670.84557
301,2025-02,40900395795.96374,37237086118.82504
302,2025-03,42271431333.79533,44069998119.49251
303,2025-04,45170127295.48584,45611131078.98589
304,2025-05,43171089485.4137,44758246933.6236
