month,date,vol,vol_unadj,age_group
116,2009-09,2412960199.01503,2379507834.343434,Age 65 and older
116,2009-09,3657345376.157331,3625055921.212122,Age 30-44
116,2009-09,6290792773.453542,6112319072.222221,Age 45-64
117,2009-10,1358823632.450549,1418349452.525253,Younger than 30
117,2009-10,2569052775.866507,2793733798.484848,Age 65 and older
117,2009-10,3667023005.477684,3829183326.262625,Age 30-44
117,2009-10,6458461073.700894,6766613803.030305,Age 45-64
118,2009-11,1375237959.529227,1494960991.414141,Younger than 30
118,2009-11,2511280622.67399,2615493121.717172,Age 65 and older
118,2009-11,3858835948.223483,4208293467.676766,Age 30-44
118,2009-11,6410417687.162314,6954096138.888889,Age 45-64
119,2009-12,1531108391.516679,1518641375.252525,Younger than 30
119,2009-12,2455810862.733442,2384176466.161617,Age 65 and older
119,2009-12,3818634673.96815,3908505425.252526,Age 30-44
119,2009-12,6354592880.73928,6596805907.575758,Age 45-64
120,2010-01,1449987260.237627,1269724312.121212,Younger than 30
120,2010-01,2685101174.970596,2434136576.262627,Age 65 and older
120,2010-01,3895179277.164125,3549268064.646464,Age 30-44
120,2010-01,6775472216.783461,6113981372.222221,Age 45-64
121,2010-02,1350313961.383897,1080440823.232323,Younger than 30
121,2010-02,2451134664.382001,2253670358.585858,Age 65 and older
121,2010-02,3624259949.644445,3157754375.252524,Age 30-44
121,2010-02,6099641146.202751,5483230693.939395,Age 45-64
122,2010-03,1314056103.106362,1256214905.555555,Younger than 30
122,2010-03,2639769929.271522,2741317446.969697,Age 65 and older
122,2010-03,3860376564.860574,3817779734.343433,Age 30-44
122,2010-03,6669423745.266177,6816548936.363636,Age 45-64
123,2010-04,1496719465.602607,1457588903.535354,Younger than 30
123,2010-04,2518822482.920337,2541604776.767677,Age 65 and older
123,2010-04,4356347892.980624,4262304309.595961,Age 30-44
123,2010-04,6590530533.394733,6448556625.252524,Age 45-64
124,2010-05,1447735165.942103,1456019789.393939,Younger than 30
