month,date,vol,vol_unadj,age_group
121,2010-02,81401540.99922912,50819158.58585858,Age 65 and older
122,2010-03,1876736522.887451,1145726690.909091,Age 45-64
122,2010-03,3632583560.019883,2614851670.202019,Age 30-44
122,2010-03,7237346449.820278,2936542410.606061,Younger than 30
122,2010-03,77530443.85431308,57133175.75757577,Age 65 and older
123,2010-04,1840855303.100275,1131224333.838384,Age 45-64
123,2010-04,3384493734.016891,2391822189.89899,Age 30-44
123,2010-04,61383708.24593963,33948442.92929293,Age 65 and older
123,2010-04,6441378636.125002,2560188877.272727,Younger than 30
124,2010-05,1732867626.36379,1107947577.777778,Age 45-64
124,2010-05,3110030027.554595,2599927993.434343,Age 30-44
124,2010-05,5746780095.678723,3161923906.565657,Younger than 30
124,2010-05,62453608.0559074,43422886.86868688,Age 65 and older
125,2010-06,110458590.1797169,77374166.66666666,Age 65 and older
125,2010-06,1888695920.486664,1253944613.131313,Age 45-64
125,2010-06,3297182475.08895,2932450384.848484,Age 30-44
125,2010-06,6053523721.541514,3668131161.111112,Younger than 30
126,2010-07,1736601016.100854,1413331982.828282,Age 45-64
126,2010-07,3139812791.349753,3098929808.585858,Age 30-44
126,2010-07,5438235919.419447,4166359035.353534,Younger than 30
126,2010-07,62107031.56790027,63930302.02020202,Age 65 and older
127,2010-08,1995887886.031236,5661426948.9899,Age 45-64
127,2010-08,3392579522.410499,6961448906.565653,Age 30-44
127,2010-08,5877449318.842334,20630536386.86868,Younger than 30
127,2010-08,70148602.6673639,173410945.959596,Age 65 and older
128,2010-09,101941453.8544815,218316831.8181819,Age 65 and older
128,2010-09,2171399183.62155,4989138493.939395,Age 45-64
128,2010-09,3616044238.767206,6163055895.959598,Age 30-44
128,2010-09,6007422446.608796,14196989750.50505,Younger than 30
129,2010-10,2208655381.006845,2268791132.323232,Age 45-64
129,2010-10,3562306990.162523,3825052201.0101,Age 30-44
129,2010-10,6296868309.707198,6522413439.898988,Younger than 30
129,2010-10,81704922.72522596,89925756.56565654,Age 65 and older
130,2010-11,2147676115.416515,1379691978.282828,Age 45-64
130,2010-11,3562781382.763426,2565395288.38384,Age 30-44
130,2010-11,6189877275.64059,3869932578.787878,Younger than 30
130,2010-11,84813187.75323145,53911098.48484848,Age 65 and older
131,2010-12,2014114431.06833,1012113911.616162,Age 45-64
131,2010-12,3217716890.567963,1973497827.777778,Age 30-44
131,2010-12,6094058625.620279,3086944246.969697,Younger than 30
131,2010-12,75440599.85450585,37221238.88888888,Age 65 and older
132,2011-01,2132044792.20608,1662480424.747475,Age 45-64
132,2011-01,3617291016.287176,3375632092.424243,Age 30-44
132,2011-01,6128636131.367435,4483554187.878788,Younger than 30
132,2011-01,75191336.7549368,60820497.97979798,Age 65 and older
133,2011-02,2020799325.771785,1149484453.535353,Age 45-64
133,2011-02,3594267728.839771,2701539209.59596,Age 30-44
133,2011-02,6255891995.746454,3125208594.444443,Younger than 30
133,2011-02,90664597.76888543,55173176.26262625,Age 65 and older
134,2011-03,1908315472.137473,1151783856.565656,Age 45-64
134,2011-03,3611000002.947778,2634535973.232323,Age 30-44
134,2011-03,6651553063.940003,2601821644.444445,Younger than 30
134,2011-03,87093482.76384859,65652020.20202023,Age 65 and older
135,2011-04,139009792.3787217,77051535.35353534,Age 65 and older
135,2011-04,2552258769.704359,1565995092.929293,Age 45-64
135,2011-04,4912792600.237436,3530477224.747475,Age 30-44
135,2011-04,8242422267.86929,3218459093.434343,Younger than 30
136,2011-05,2366876060.396641,1550985845.959596,Age 45-64
136,2011-05,4300358371.824416,3682424610.60606,Age 30-44
136,2011-05,66930995.56625628,45442471.21212121,Age 65 and older
136,2011-05,6812377216.705313,3786941479.797977,Younger than 30
137,2011-06,137406778.3307232,95270874.74747476,Age 65 and older
137,2011-06,2132267420.721395,1416524143.939394,Age 45-64
137,2011-06,3965941946.197701,3524860502.020203,Age 30-44
137,2011-06,6782891474.212144,4043054508.585858,Younger than 30
138,2011-07,2129737897.631727,1703526777.272728,Age 45-64
138,2011-07,3922264250.124673,3853769206.060608,Age 30-44
138,2011-07,54336955.07931003,57345013.13131315,Age 65 and older
138,2011-07,6270972033.143939,4719851315.151516,Younger than 30
139,2011-08,2287893504.981932,6520185018.686871,Age 45-64
