month,date,vol,vol_unadj,income_level_group
214,2017-11,73204896609.33916,71425692177.27272,High
215,2017-12,17854744394.1954,17443818972.22223,Moderate
215,2017-12,2226033359.956322,2164905128.282827,Low
215,2017-12,56429950979.43109,54168928239.39395,Middle
215,2017-12,71780681591.65358,68824440149.495,High
216,2018-01,17936153180.5368,13580425596.9697,Moderate
216,2018-01,2294229138.303605,1871489753.030303,Low
216,2018-01,56732955556.91064,42636474075.25253,Middle
216,2018-01,72972192428.60349,54182290652.0202,High
217,2018-02,17153860495.64541,13350449947.9798,Moderate
217,2018-02,2279099521.695755,1727265922.222223,Low
217,2018-02,53964516511.73975,40963992019.69696,Middle
217,2018-02,71951075512.43236,54293730771.21211,High
218,2018-03,17158563120.98585,16492070278.28283,Moderate
218,2018-03,2557372200.621152,2489168103.030304,Low
218,2018-03,54058719526.37801,51686338643.93941,Middle
218,2018-03,69137517748.38661,66455491637.87872,High
219,2018-04,17767387056.06104,17694944019.19191,Moderate
219,2018-04,2052837760.005648,2000808979.292929,Low
219,2018-04,52783685610.97874,52158270094.9495,Middle
219,2018-04,66238603118.75089,63743426687.37377,High
220,2018-05,17728255864.02336,19022682438.38384,Moderate
220,2018-05,2561528897.934039,2821174184.848484,Low
220,2018-05,52341584459.68406,56369536985.35353,Middle
220,2018-05,67453580792.58167,73553680126.26263,High
221,2018-06,18013342570.33634,20929242222.22223,Moderate
221,2018-06,2592337563.449717,3049799869.69697,Low
221,2018-06,51937609851.30378,59301068211.11113,Middle
221,2018-06,66924393781.17731,76074653528.28281,High
222,2018-07,17914553016.98149,19639824772.72728,Moderate
222,2018-07,2394154947.781562,2536340471.212121,Low
222,2018-07,50543590422.42242,55884975951.51516,Middle
222,2018-07,63054747105.64378,71077430236.86867,High
223,2018-08,17189647870.64339,19769453418.18183,Moderate
223,2018-08,2684505737.275637,2950229157.57576,Low
223,2018-08,49166358234.50786,56855178137.37376,Middle
223,2018-08,63638744521.14388,72670783356.06058,High
224,2018-09,15445442253.09415,16058181969.1919,Moderate
224,2018-09,1920852228.660081,2043956170.20202,Low
224,2018-09,42669007419.17094,45452480505.0505,Middle
224,2018-09,53061613632.79234,56049794118.68688,High
225,2018-10,16164820767.00428,17100889964.14141,Moderate
225,2018-10,2197200715.061438,2359281208.080808,Low
225,2018-10,46511142104.7319,49996546382.82828,Middle
225,2018-10,56987806183.81377,62743441959.59593,High
226,2018-11,16120026175.33897,15256369202.52525,Moderate
226,2018-11,2268621881.494175,2096003499.49495,Low
226,2018-11,47085093091.6585,45080871131.3131,Middle
226,2018-11,57116403310.28831,55083936019.19193,High
227,2018-12,15961880624.99547,15497984903.03032,Moderate
