month,date,tightness_index,unadjusted_credit_tightness_index
254,2021-03,87.78235000000001,87.17661000000001
255,2021-04,86.72706000000001,87.25424000000001
256,2021-05,86.55818000000001,87.29249
257,2021-06,85.61107000000001,85.99057000000001
258,2021-07,84.33970000000001,83.91918000000001
259,2021-08,83.98536,84.34594000000001
260,2021-09,85.45121,86.18473
261,2021-10,87.75267000000001,88.62364000000001
262,2021-11,89.90568,89.57669000000001
263,2021-12,91.69030000000001,90.89768000000001
264,2022-01,95.59889000000001,93.68900000000001
265,2022-02,97.31706000000001,96.98722000000001
266,2022-03,100.0361,99.67173000000001
267,2022-04,101.25945,102.28732
268,2022-05,101.24318,102.12187
269,2022-06,101.77883,102.2902
270,2022-07,100.37738,100.2474
271,2022-08,102.58631,102.82027
272,2022-09,104.67674,105.21423
273,2022-10,103.71229,104.6256
274,2022-11,102.32663,101.83733
275,2022-12,101.22881,100.03271
276,2023-01,99.83760000000001,98.09839000000001
277,2023-02,100.15958,99.69491000000001
278,2023-03,98.80166000000001,98.74421000000001
279,2023-04,97.30386000000001,98.53472000000001
280,2023-05,98.09086000000001,98.79804000000001
281,2023-06,97.67147000000001,98.203
282,2023-07,98.90488000000001,99.17003000000001
283,2023-08,98.49564000000001,98.57781000000001
284,2023-09,98.83846000000001,98.96631000000001
285,2023-10,97.20725,97.89516
286,2023-11,96.45486000000001,95.98525000000001
287,2023-12,95.48633000000001,94.22574
288,2024-01,92.92129000000001,91.63054000000001
289,2024-02,92.45489000000001,91.93584000000001
290,2024-03,92.19059000000001,92.29817000000001
291,2024-04,91.96774000000001,93.19063000000001
292,2024-05,91.10734000000001,91.58326000000001
293,2024-06,90.28171,90.82789000000001
294,2024-07,90.36425000000001,90.93764
295,2024-08,90.04853000000001,90.06288000000001
296,2024-09,89.05299000000001,88.85347
297,2024-10,89.74693000000001,90.14882
298,2024-11,90.34873,89.91877000000001
299,2024-12,88.20963,87.07708000000001
300,2025-01,88.57724,87.71021
301,2025-02,86.35561000000001,85.79716000000001
302,2025-03,83.99373000000001,84.14282
303,2025-04,85.81710000000001,86.93161000000001
304,2025-05,84.68480000000001,84.99062000000001
305,2025-06,85.79497000000001,86.35871
306,2025-07,85.35218,86.07809
307,2025-08,84.30077,84.35086000000001
308,2025-09,82.65336000000001,82.25863000000001
309,2025-10,82.25087000000001,82.44043000000001
310,2025-11,84.61257000000001,84.19734000000001
311,2025-12,86.33107000000001,85.26258000000001
312,2026-01,90.36012000000001,89.75607000000001
