month,date,vol,vol_unadj,age_group
124,2010-05,43973042642.53615,42757723324.24244,Age 30-44
124,2010-05,7509613737.986538,7377638846.464647,Age 65 and older
125,2010-06,11929486700.18594,13805680168.18182,Younger than 30
125,2010-06,51090069920.74654,52263010812.12122,Age 45-64
125,2010-06,52527820242.72477,57873134265.65656,Age 30-44
125,2010-06,8813166784.553627,8734012258.080809,Age 65 and older
126,2010-07,53955125818.08019,52914948749.49494,Age 30-44
126,2010-07,59411709165.43026,57007049277.27273,Age 45-64
126,2010-07,8571482211.55132,9445576948.989895,Younger than 30
126,2010-07,9814247517.267464,8905616921.717175,Age 65 and older
127,2010-08,12143570023.70664,12288632861.61616,Age 65 and older
127,2010-08,63475535984.39188,66962357514.64646,Age 30-44
127,2010-08,72324191690.06468,70832355972.22223,Age 45-64
127,2010-08,9574031025.16662,10121900331.81818,Younger than 30
128,2010-09,10902062633.62556,11246878315.15151,Younger than 30
128,2010-09,13855414024.6089,12834059391.41414,Age 65 and older
128,2010-09,73124326577.51041,72315160788.8889,Age 30-44
128,2010-09,82693740671.79582,77066212964.64647,Age 45-64
129,2010-10,10452567518.51506,11568676770.70707,Younger than 30
129,2010-10,13151916405.83603,13053215179.29293,Age 65 and older
129,2010-10,64587768081.86693,70396664312.12123,Age 30-44
129,2010-10,79105796135.38246,82620796961.61618,Age 45-64
130,2010-11,11382666288.39257,11919497903.53535,Younger than 30
130,2010-11,13823583357.84601,14119892632.32323,Age 65 and older
130,2010-11,66134604517.62164,73021635907.07076,Age 30-44
130,2010-11,81476591733.14841,85686734213.63638,Age 45-64
131,2010-12,11122707130.20253,11636262128.78788,Younger than 30
131,2010-12,12628249649.68326,13088375831.31313,Age 65 and older
131,2010-12,61602110120.82897,66648274017.67676,Age 30-44
131,2010-12,77103243605.89824,83683141784.84851,Age 45-64
132,2011-01,11862530464.56628,12645845874.24242,Age 65 and older
132,2011-01,53110423372.55585,44449945201.01009,Age 30-44
132,2011-01,64737390409.47442,63288114918.68689,Age 45-64
132,2011-01,9836314414.899996,6795992724.747476,Younger than 30
133,2011-02,44179649485.79651,35885779040.9091,Age 30-44
133,2011-02,52536551768.06077,46866856895.9596,Age 45-64
133,2011-02,8271626519.849917,5731610176.262627,Younger than 30
133,2011-02,9500440723.115404,9169896614.141417,Age 65 and older
134,2011-03,39065936012.96436,37619828060.60607,Age 30-44
134,2011-03,45531670259.66762,46691764348.48486,Age 45-64
134,2011-03,8589043061.961664,8215886739.393939,Younger than 30
134,2011-03,9372686731.886686,10125673251.0101,Age 65 and older
135,2011-04,37729519249.48821,35650595929.79797,Age 30-44
135,2011-04,41020377566.65435,40208971031.31313,Age 45-64
135,2011-04,7794946533.354018,7781363426.26263,Younger than 30
135,2011-04,8292713888.742856,8216864836.363638,Age 65 and older
136,2011-05,37010050816.90934,35697485298.9899,Age 30-44
136,2011-05,39769977636.43046,39329609976.26263,Age 45-64
136,2011-05,7684857891.388731,7318587313.131311,Age 65 and older
136,2011-05,8138244544.36408,8848903629.797985,Younger than 30
137,2011-06,40200964301.47972,44473707665.65656,Age 30-44
137,2011-06,44588443494.35231,45271291460.10102,Age 45-64
137,2011-06,8012234799.318569,9258300037.373735,Younger than 30
137,2011-06,8153205788.746668,7844036987.878786,Age 65 and older
138,2011-07,42041060482.66136,42920855027.27273,Age 30-44
138,2011-07,46449004690.74976,45534460670.70709,Age 45-64
138,2011-07,8078582508.502348,8986874633.333338,Younger than 30
138,2011-07,8677235511.809128,8128469126.767677,Age 65 and older
139,2011-08,44805488005.05133,49172885176.76768,Age 30-44
139,2011-08,52864142991.01685,53688901123.73738,Age 45-64
139,2011-08,8764307834.623842,9421741620.202021,Younger than 30
139,2011-08,9869025652.801813,10251020231.81818,Age 65 and older
140,2011-09,10881596688.63663,10375221710.10101,Age 65 and older
140,2011-09,58608552440.01131,59100307906.06062,Age 30-44
140,2011-09,68822311478.9223,66585022343.43437,Age 45-64
140,2011-09,9408510534.148079,9839274462.121214,Younger than 30
141,2011-10,12189573776.21236,12690001888.38384,Age 65 and older
141,2011-10,55841769822.32131,62314061476.76766,Age 30-44
141,2011-10,67715148481.07833,72040759793.43434,Age 45-64
141,2011-10,9410830925.24753,10424933444.44444,Younger than 30
142,2011-11,13185767450.41101,13476701819.19192,Age 65 and older
142,2011-11,54483664585.28999,59410696855.55556,Age 30-44
142,2011-11,68656828556.4669,71920180671.21213,Age 45-64
142,2011-11,9490191776.790524,9889089558.585857,Younger than 30
143,2011-12,13007231125.16947,13479480137.37374,Age 65 and older
143,2011-12,54221997663.87019,57159550909.59596,Age 30-44
143,2011-12,63249318354.40365,68451069081.31313,Age 45-64
143,2011-12,9507738103.133614,10035533859.09091,Younger than 30
144,2012-01,12828979574.92908,13272997121.21212,Age 65 and older
